Sum of runs_off_bat,Column Labels,,,,,,,,,,,,,
Player,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
R Dravid,371,642,898,1241,1703,2174,2174,2174,2174,2174,2174,2174,2174,2174
R McLaren,0,0,66,156,156,159,159,159,159,159,159,159,159,159
R Ninan,0,0,0,3,3,3,3,3,3,3,3,3,3,3
R Parag,0,0,0,0,0,0,0,0,0,0,0,160,246,339
R Rampaul,0,0,0,0,0,38,51,51,51,51,51,51,51,51
R Sathish,0,0,112,137,137,246,246,246,270,270,270,270,270,270
R Sharma,0,0,29,53,55,66,66,66,66,66,66,66,66,66
R Shukla,0,0,0,0,0,1,19,19,19,19,19,19,19,19
R Tewatia,0,0,0,0,0,0,16,16,16,35,85,111,366,521
R Vinay Kumar,25,72,99,149,217,287,291,291,304,304,310,310,310,310
RA Jadeja,135,430,430,713,904,1105,1251,1383,1574,1732,1821,1927,2159,2386
RA Tripathi,0,0,0,0,0,0,0,0,0,391,617,758,988,1385
Rashid Khan,0,0,0,0,0,0,0,0,0,11,70,104,139,222
Rasikh Salam,0,0,0,0,0,0,0,0,0,0,0,5,5,5
Ravi Bishnoi,0,0,0,0,0,0,0,0,0,0,0,0,7,8
RD Chahar,0,0,0,0,0,0,0,0,0,3,3,15,17,31
RD Gaikwad,0,0,0,0,0,0,0,0,0,0,0,0,204,839
RE Levi,0,0,0,0,83,83,83,83,83,83,83,83,83,83
RE van der Merwe,0,122,123,137,137,159,159,159,159,159,159,159,159,159
RG More,0,0,0,0,0,0,0,2,2,2,2,2,2,2
RG Sharma,404,766,1170,1542,1975,2513,2903,3385,3874,4207,4493,4898,5232,5613
RJ Harris,0,21,66,97,115,117,117,117,117,117,117,117,117,117
RJ Peterson,0,0,0,0,32,32,32,32,32,32,32,32,32,32
RJ Quiney,0,103,103,103,103,103,103,103,103,103,103,103,103,103
RK Bhui,0,0,0,0,0,0,0,0,0,0,0,7,7,7
RK Singh,0,0,0,0,0,0,0,0,0,0,29,66,77,77
RM Patidar,0,0,0,0,0,0,0,0,0,0,0,0,0,71
RN ten Doeschate,0,0,0,107,128,213,265,326,326,326,326,326,326,326
RP Singh,27,35,44,46,52,52,52,52,52,52,52,52,52,52
RR Bhatkal,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RR Pant,0,0,0,0,0,0,0,0,198,564,1248,1742,2087,2511
RR Powar,28,51,56,67,67,67,67,67,67,67,67,67,67,67
RR Raje,8,20,20,20,20,20,20,20,20,20,20,20,20,20
RR Rossouw,0,0,0,0,0,0,39,53,53,53,53,53,53,53
RR Sarwan,73,73,73,73,73,73,73,73,73,73,73,73,73,73
RS Bopara,0,138,386,386,386,386,386,531,531,531,531,531,531,531
RS Gavaskar,0,0,2,2,2,2,2,2,2,2,2,2,2,2
RS Sodhi,0,0,4,4,4,4,4,4,4,4,4,4,4,4
RT Ponting,39,39,39,39,39,91,91,91,91,91,91,91,91,91
RV Gomez,0,0,0,46,46,50,50,50,50,50,50,50,50,50
RV Patel,0,0,0,0,0,0,0,0,0,0,0,0,0,25
RV Uthappa,320,495,869,1133,1538,1972,2632,2996,3390,3778,4129,4413,4609,4724
S Anirudha,1,1,31,114,133,133,136,136,136,136,136,136,136,136
S Aravind,0,0,0,13,27,27,27,27,27,59,59,59,59,59
S Badree,0,0,0,0,0,0,0,0,0,13,13,13,13,13
S Badrinath,192,369,725,1121,1317,1441,1441,1441,1441,1441,1441,1441,1441,1441
S Chanderpaul,25,25,25,25,25,25,25,25,25,25,25,25,25,25
S Dhawan,340,380,571,971,1540,1851,2228,2581,3082,3561,4058,4579,5197,5784
S Dube,0,0,0,0,0,0,0,0,0,0,0,40,169,399
S Gopal,0,0,0,0,0,0,11,12,14,14,64,127,164,171
S Kaul,0,0,0,0,0,7,9,9,9,9,12,12,12,20
S Kaushik,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Ladda,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Lamichhane,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Nadeem,0,0,0,0,0,14,21,23,24,26,32,32,39,39
S Narwal,0,0,14,14,14,37,37,37,37,37,37,37,37,37
S Rana,0,0,0,18,18,18,91,91,91,91,91,91,91,91
S Randiv,0,0,0,2,2,2,2,2,2,2,2,2,2,2
S Sohal,4,119,119,368,368,368,368,368,368,368,368,368,368,368
S Sreesanth,0,5,32,33,33,34,34,34,34,34,34,34,34,34
S Sriram,0,0,27,31,31,31,31,31,31,31,31,31,31,31
S Tyagi,0,0,3,3,3,3,3,3,3,3,3,3,3,3
S Vidyut,145,145,145,145,145,145,145,145,145,145,145,145,145,145
SA Abbott,0,0,0,0,0,0,0,15,15,15,15,15,15,15
SA Asnodkar,311,409,414,423,423,423,423,423,423,423,423,423,423,423
SA Yadav,0,0,0,0,0,0,164,321,503,608,1120,1544,2024,2341
Sachin Baby,0,0,0,0,0,3,3,3,122,137,137,137,137,144
Salman Butt,193,193,193,193,193,193,193,193,193,193,193,193,193,193
Sandeep Sharma,0,0,0,0,0,0,2,11,19,26,26,32,44,52
SB Bangar,47,49,49,49,49,49,49,49,49,49,49,49,49,49
SB Jakati,0,20,20,20,27,27,27,27,28,28,28,28,28,28
SB Joshi,6,6,6,6,6,6,6,6,6,6,6,6,6,6
SB Styris,112,126,126,131,131,131,131,131,131,131,131,131,131,131
SB Wagh,0,0,0,2,2,2,2,2,2,2,2,2,2,2
SC Ganguly,349,538,1031,1081,1349,1349,1349,1349,1349,1349,1349,1349,1349,1349
SD Chitnis,18,24,24,33,99,99,99,99,99,99,99,99,99,99
SD Lad,0,0,0,0,0,0,0,0,0,0,0,15,15,15
SE Bond,0,0,1,1,1,1,1,1,1,1,1,1,1,1
SE Marsh,616,616,763,1267,1603,1903,1973,2066,2225,2489,2489,2489,2489,2489
SE Rutherford,0,0,0,0,0,0,0,0,0,0,0,73,73,73
Shahbaz Ahmed,0,0,0,0,0,0,0,0,0,0,0,0,1,60
Shahid Afridi,81,81,81,81,81,81,81,81,81,81,81,81,81,81
Shakib Al Hasan,0,0,0,29,120,120,349,385,499,500,739,748,748,795
Shivam Mavi,0,0,0,0,0,0,0,0,0,0,13,13,23,48
Shivam Sharma,0,0,0,0,0,0,5,5,5,5,5,5,5,5
Shoaib Ahmed,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Shoaib Akhtar,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Shoaib Malik,52,52,52,52,52,52,52,52,52,52,52,52,52,52
Shubman Gill,0,0,0,0,0,0,0,0,0,0,203,499,939,1417
SJ Srivastava,0,0,1,5,5,5,5,5,5,5,5,5,5,5
SK Raina,421,855,1383,1821,2262,2810,3333,3707,4106,4548,4993,5376,5376,5536
SK Trivedi,5,14,34,34,39,42,42,42,42,42,42,42,42,42
SK Warne,70,178,188,198,198,198,198,198,198,198,198,198,198,198
SL Malinga,0,0,1,9,64,73,75,81,81,88,88,88,88,88
SM Curran,0,0,0,0,0,0,0,0,0,0,0,95,281,337
SM Harwood,0,9,9,9,9,9,9,9,9,9,9,9,9,9
SM Katich,96,241,241,241,241,241,241,241,241,241,241,241,241,241
SM Pollock,147,147,147,147,147,147,147,147,147,147,147,147,147,147
SMSM Senanayake,0,0,0,0,0,10,10,10,10,10,10,10,10,10
SN Khan,0,0,0,0,0,0,0,111,177,177,228,408,441,441
SN Thakur,0,0,0,0,0,0,0,7,7,7,22,36,48,53
SO Hetmyer,0,0,0,0,0,0,0,0,0,0,0,90,275,517
Sohail Tanvir,36,36,36,36,36,36,36,36,36,36,36,36,36,36
SP Fleming,196,196,196,196,196,196,196,196,196,196,196,196,196,196
SP Goswami,82,135,143,172,241,241,241,241,241,241,293,293,293,293
SP Jackson,0,0,0,0,0,0,0,0,0,38,38,38,38,38
SP Narine,0,0,0,0,9,30,40,40,47,271,628,771,892,954
SPD Smith,0,0,0,0,362,521,673,971,1241,1713,1713,2032,2343,2495
SR Tendulkar,188,552,1169,1722,2046,2333,2333,2333,2333,2333,2333,2333,2333,2333
SR Watson,472,472,657,987,1242,1785,2031,2378,2557,2628,3183,3581,3880,3880
SS Cottrell,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS Iyer,0,0,0,0,0,0,0,439,469,807,1218,1685,2204,2379
SS Shaikh,0,6,6,6,6,6,6,6,6,6,6,6,6,6
SS Tiwary,26,39,458,645,836,945,945,1054,1224,1276,1276,1276,1379,1494
ST Jayasuriya,514,735,768,768,768,768,768,768,768,768,768,768,768,768
STR Binny,0,0,8,45,135,428,551,625,688,766,810,880,880,880
Sunny Gupta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunny Singh,0,0,0,43,43,43,43,43,43,43,43,43,43,43
SV Samson,0,0,0,0,0,206,545,749,1040,1426,1867,2209,2584,3068
SW Billings,0,0,0,0,0,0,0,0,88,226,334,334,334,334
SW Tait,0,0,12,22,22,23,23,23,23,23,23,23,23,23
Swapnil Singh,0,0,0,0,0,0,0,0,0,12,12,12,12,12
T Banton,0,0,0,0,0,0,0,0,0,0,0,0,18,18
T Henderson,0,11,11,11,11,11,11,11,11,11,11,11,11,11
T Kohli,10,11,11,11,11,11,11,11,11,11,11,11,11,11
T Natarajan,0,0,0,0,0,0,0,0,0,0,0,0,3,3
T Shamsi,0,0,0,0,0,0,0,0,0,0,0,0,0,2
T Taibu,31,31,31,31,31,31,31,31,31,31,31,31,31,31
T Thushara,0,2,12,12,12,12,12,12,12,12,12,12,12,12
TA Boult,0,0,0,0,0,0,0,0,0,5,5,12,12,13
TD Paine,0,0,0,10,10,10,10,10,10,10,10,10,10,10
TG Southee,0,0,0,0,0,0,4,17,47,54,106,115,115,118
TH David,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TK Curran,0,0,0,0,0,0,0,0,0,0,23,23,106,127
TL Seifert,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TL Suman,0,237,544,609,624,676,676,676,676,676,676,676,676,676
TM Dilshan,104,522,566,792,1077,1153,1153,1153,1153,1153,1153,1153,1153,1153
TM Head,0,0,0,0,0,0,0,0,54,205,205,205,205,205
TM Srivastava,8,8,8,8,8,8,8,8,8,8,8,8,8,8
TR Birt,0,0,0,75,75,75,75,75,75,75,75,75,75,75
TS Mills,0,0,0,0,0,0,0,0,0,8,8,8,8,8
TU Deshpande,0,0,0,0,0,0,0,0,0,0,0,0,21,21
U Kaul,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UA Birla,0,0,0,0,0,7,7,7,7,7,7,7,7,7
UBT Chand,0,0,0,2,38,196,198,300,300,300,300,300,300,300
Umar Gul,39,39,39,39,39,39,39,39,39,39,39,39,39,39
UT Khawaja,0,0,0,0,0,0,0,0,127,127,127,127,127,127
UT Yadav,0,0,3,4,6,44,46,75,84,94,97,122,122,122
V Kohli,165,411,718,1275,1639,2278,2637,3142,4115,4423,4953,5417,5888,6293
V Pratap Singh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V Sehwag,406,604,960,1384,1879,2174,2629,2728,2728,2728,2728,2728,2728,2728
V Shankar,0,0,0,0,0,0,0,0,0,101,313,557,654,712
VH Zol,0,0,0,0,0,0,29,29,29,29,29,29,29,29
Virat Singh,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Vishnu Vinod,0,0,0,0,0,0,0,0,0,19,19,19,19,19
VR Aaron,0,0,0,0,1,1,36,42,42,46,46,49,50,50
VR Iyer,0,0,0,0,0,0,0,0,0,0,0,0,0,370
VRV Singh,4,4,4,4,4,4,4,4,4,4,4,4,4,4
VS Malik,0,0,6,6,6,6,7,7,7,7,7,7,7,7
VS Yeligati,2,2,2,2,2,2,2,2,2,2,2,2,2,2
VVS Laxman,155,174,238,282,282,282,282,282,282,282,282,282,282,282
VY Mahesh,15,15,15,15,15,15,15,15,15,15,15,15,15,15
W Jaffer,115,130,130,130,130,130,130,130,130,130,130,130,130,130
WA Mota,26,56,56,56,56,56,56,56,56,56,56,56,56,56
Washington Sundar,0,0,0,0,0,0,0,0,0,9,74,75,186,217
WD Parnell,0,0,0,37,56,61,63,63,63,63,63,63,63,63
WP Saha,159,231,298,366,372,442,804,1053,1323,1557,1679,1765,1979,2110
WPUJC Vaas,21,51,81,81,81,81,81,81,81,81,81,81,81,81
X Thalaivan Sargunam,0,0,0,0,0,10,10,10,10,10,10,10,10,10
Y Gnaneswara Rao,0,0,0,19,19,19,19,19,19,19,19,19,19,19
Y Nagar,0,20,21,132,285,285,285,285,285,285,285,285,285,285
Y Prithvi Raj,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y Venugopal Rao,288,412,446,782,914,914,985,985,985,985,985,985,985,985
YA Abdulla,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yashpal Singh,0,47,47,47,47,47,47,47,47,47,47,47,47,47
YBK Jaiswal,0,0,0,0,0,0,0,0,0,0,0,0,40,289
YK Pathan,435,696,1029,1312,1506,1838,2106,2418,2779,2922,3182,3222,3222,3222
Younis Khan,3,3,3,3,3,3,3,3,3,3,3,3,3,3
YS Chahal,0,0,0,0,0,0,1,2,2,15,15,21,22,32
Yuvraj Singh,299,639,898,1241,1241,1479,1855,2103,2339,2591,2656,2754,2754,2754
YV Takawale,70,88,88,88,88,88,192,192,192,192,192,192,192,192
Z Khan,34,42,66,87,99,99,107,107,113,117,117,117,117,117
